FIPS,POP_SQMI,AVE_HH_SZ
21051,44.3,2.52
21053,49.9,2.33
21055,24.7,2.41
21057,22.3,2.35
21059,214.5,2.44
21061,41,2.44
21063,33.5,2.45
21065,56.9,2.43
21067,1132.6,2.3
21069,41.6,2.5
21071,109.1,2.41
21073,242.4,2.29
21075,28.3,2.22
21077,84.5,2.69
21079,74.6,2.52
21081,97.6,2.81
21083,66.8,2.44
21085,51.6,2.48
21087,38.4,2.42
21089,103.4,2.48
21091,44.8,2.58
21093,178,2.57
21095,65.9,2.43
21097,61.4,2.53
21099,45.9,2.53
21101,99.2,2.41
21103,54.9,2.57
21105,18.5,2.31
21107,84.3,2.41
21109,39.6,2.44
21111,1939.6,2.35
21113,306.6,2.65
21115,90.3,2.44
21117,1026.8,2.51
21119,47.6,2.44
21121,85.4,2.46
21123,55.2,2.47
21125,136.5,2.53
21127,38,2.52
21129,35.4,2.36
21131,28.3,2.43
21133,76,2.42
21135,28.3,2.5
21137,74.4,2.51
21139,27.6,2.37
21141,48.9,2.49
21143,32.6,2.19
21145,249.1,2.28
21147,42.3,2.5
21149,37.3,2.47
21151,206.2,2.42
21153,45.3,2.49
21155,56.1,2.52
21157,94.4,2.37
21159,57.5,2.5
21161,71.8,2.45
21163,88.8,2.71
21165,31.9,2.49
21167,86.3,2.44
21169,35.2,2.46
21171,32.1,2.4
21173,139.7,2.51
21175,35.5,2.46
21177,65.7,2.45
21179,109.6,2.55
21181,36.4,2.51
21183,41.5,2.56
21185,342.7,2.87
21187,30.8,2.52
21189,23.6,2.44
21191,52.4,2.67
21193,88.5,2.48
21195,86.5,2.39
21197,69.6,2.57
21199,95,2.41
21201,22.1,2.47
21203,53.7,2.48
21205,86.9,2.36
21207,63.7,2.35
21209,196.4,2.63
21211,122.5,2.64
21213,78.3,2.52
21215,97.5,2.75
21217,92.5,2.39
21219,33.4,2.64
21221,30.1,2.42
21223,55.2,2.56
21225,41,2.46
21227,236.9,2.46
21229,40.2,2.51
21231,42.6,2.37
21233,40.3,2.51
21235,82.9,2.51
21237,33.6,2.36
21239,139.6,2.51
22001,98.3,2.66
22003,35.3,2.53
22005,415.9,2.82
22007,66,2.66
22009,49.6,2.51
22011,32.4,2.61
22013,17.2,2.4
22015,153.4,2.54
22017,272.3,2.44
22019,187.9,2.55
22021,19.5,2.45
22023,4.5,2.66
22025,13.8,2.49
22027,21.8,2.37
22029,27.3,2.54
22031,31.4,2.5
22033,977.4,2.49
22035,17.1,2.62
22037,44.3,2.55
22039,51.6,2.54
22041,33.5,2.53
22043,34.7,2.58
22045,118.5,2.7
22047,55.7,2.66
22049,28.3,2.43
22051,841.9,2.53
22053,50.4,2.64
22055,935.7,2.49
22057,88.4,2.67
22059,23.2,2.5
22061,102.7,2.38
22063,206.5,2.76
22065,18.9,2.61
22067,33.2,2.51
22069,31.3,2.39
22071,1124.5,2.33
22073,255.4,2.52
22075,24.8,2.82
22077,41.2,2.5
22079,101.7,2.52
22081,21.7,2.57
22083,37.5,2.61
22085,25.4,2.47
22087,69.8,2.69
22089,136.1,2.81
22091,28.8,2.56
22093,89.3,2.84
22095,133.2,2.85
22097,91.8,2.58
22099,68.5,2.68
22101,83.2,2.63
22103,238.4,2.66
22105,164.8,2.6
22107,8.2,2.41
22109,78.6,2.75
22111,25.9,2.44
22113,47.3,2.63
22115,39.5,2.61
22117,71.1,2.52
22119,67,2.42
22121,135.6,2.67
22123,31.9,2.51
22125,37.7,2.6
22127,15.6,2.48
23001,221.9,2.37
23003,10.3,2.26
23005,328.4,2.32
23007,17.2,2.28
23009,32.8,2.2
23011,128.5,2.32
23013,108.9,2.22
23015,75.6,2.24
23017,27.7,2.35
23019,44.3,2.33
23021,3.9,2.21
23023,135.7,2.32
23025,12.6,2.35
23027,54,2.33
23029,11.9,2.24
23031,207.8,2.4
24001,170.1,2.3
24003,1401.8,2.63
24005,1382.5,2.48
24009,428.6,2.85
24011,103.9,2.68
24013,380.5,2.74
24015,295.2,2.7
24017,355.2,2.83
24019,57.7,2.37
24021,383.9,2.7
24023,46.7,2.45
24025,580.1,2.68
24027,1289.9,2.72
24029,71.3,2.29
24031,2077.2,2.7
24033,1888.3,2.78
24035,137.8,2.63
24037,316.2,2.72
24039,80.2,2.37
24041,141.3,2.31
24043,323.7,2.5
24045,275.3,2.53
24047,104,2.28
24510,7533.6,2.38
25001,544.1,2.21
25003,136.5,2.23
25005,983.9,2.5
25007,159.7,2.22
25009,1519.1,2.54
25011,98.3,2.29
25013,750.4,2.49
25015,303.5,2.34
25017,1903.3,2.49
25019,225.6,2.39
25021,1729.7,2.53
25023,766.1,2.67
25025,13135.8,2.3
25027,531,2.55
26001,14.9,2.13
26003,10.1,2.2
26005,141.5,2.63
26007,49,2.27
26009,46.4,2.36
26011,42,2.34
26013,9.4,2.28
26015,105.8,2.6
26017,235.8,2.38
26019,52.3,2.37
26021,269.5,2.43
26023,84.5,2.56
26025,187.1,2.44
26027,102.8,2.51
26029,58.5,2.36
26031,32.3,2.31
26033,23.8,2.34
26035,52.9,2.36
26037,138.9,2.6
26039,24.3,2.31
26041,31.1,2.28
26043,33.3,2.26
26045,190.6,2.44
26047,69.7,2.37
26049,631.8,2.48
26051,49.3,2.36
26053,13.5,2.11
26055,192.6,2.39
